boundary,T_C,x_Zn_at_pct
alpha_ab,25,30.0
alpha_ab,200,31.0
alpha_ab,400,32.5
alpha_ab,454,36.8
alpha_ab,500,37.2
alpha_ab,558,37.3
alpha_ab,600,36.8
alpha_ab,700,35.8
alpha_ab,800,34.5
alpha_ab,902,32.1
beta_left,454,44.8
beta_left,500,44.5
beta_left,558,44.2
beta_left,600,43.8
beta_left,700,43.2
beta_left,800,42.5
beta_left,834,41.5
beta_right,454,48.5
beta_right,500,51.0
beta_right,558,55.0
beta_right,600,56.0
beta_right,700,57.0
beta_right,800,57.5
beta_right,834,57.8
gamma_left,454,48.5
gamma_left,500,55.0
gamma_left,558,57.6
gamma_left,600,58.5
gamma_left,700,58.8
gamma_left,800,60.0
gamma_left,834,60.5
gamma_right,558,68.0
gamma_right,600,67.5
gamma_right,700,66.5
gamma_right,800,65.0
epsilon_left,558,73.0
epsilon_left,600,74.0
epsilon_left,700,75.5
epsilon_left,800,77.0
epsilon_right,419,85.0
epsilon_right,500,83.5
epsilon_right,558,83.0
epsilon_right,600,82.5
epsilon_right,700,81.5
eta_left,419,98.3
eta_left,500,98.5
eta_left,558,98.5
eta_left,600,99.0
eta_left,700,99.0
